,Noise,Distance from Center,Iterations,Cost
0,0.0,0.02362721447354983,5,8.37876584018443
1,0.8,0.023627221376475317,6,8.37876584187846
2,1.6,0.023627223164515744,6,8.378765841821142
3,2.4000000000000004,0.023627210191640845,5,8.378765834471363
4,3.2,0.023627212414606802,5,8.378765834790297
5,4.0,0.02362721370780267,5,8.378765834908515
6,4.800000000000001,0.023627214568907283,5,8.378765834947123
7,5.6000000000000005,0.023627215182649174,5,8.378765834953906
8,6.4,0.023627215639560026,5,8.378765834947679
9,7.2,0.023627215990886227,5,8.378765834936456
10,8.0,0.02362721626815516,5,8.378765834923906
11,8.8,0.02362721649163325,5,8.378765834911272
12,9.600000000000001,0.02362721667502019,5,8.378765834899173
